director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Charles Walters,June Allyson,Peter Lawford,Patricia Marshall,Comedy Music Romance,good news,June Allyson Peter Lawford Patricia Marshall Charles Walters Comedy Music Romance
William Keighley,James Cagney,Margaret Lindsay,Ann Dvorak,Action Adventure Crime Drama,g-men,James Cagney Margaret Lindsay Ann Dvorak William Keighley Action Adventure Crime Drama
Anders Thomas Jensen,Mads Mikkelsen,Ulrich Thomsen,Paprika Steen,Drama Comedy Crime,adam's apples,Mads Mikkelsen Ulrich Thomsen Paprika Steen Anders Thomas Jensen Drama Comedy Crime
Vincente Minnelli Busby Berkeley,Ethel Waters,Eddie 'Rochester' Anderson,Lena Horne,Fantasy Music,cabin in the sky,Ethel Waters Eddie 'Rochester' Anderson Lena Horne Vincente Minnelli Busby Berkeley Fantasy Music
Henry King,Richard Barthelmess,Gladys Hulette,Walter P. Lewis,Drama,tol'able david,Richard Barthelmess Gladys Hulette Walter P. Lewis Henry King Drama
Murali K. Thalluri,Teresa Palmer,Frank Sweet,Joel Mackenzie,Drama,2:37,Teresa Palmer Frank Sweet Joel Mackenzie Murali K. Thalluri Drama
Martha Coolidge,Hilary Duff,Haylie Duff,María Conchita Alonso,Comedy,material girls,Hilary Duff Haylie Duff María Conchita Alonso Martha Coolidge Comedy
Steve Pink,Justin Long,Jonah Hill,Blake Lively,Comedy,accepted,Justin Long Jonah Hill Blake Lively Steve Pink Comedy
Clément Virgo,Lauren Lee Smith,Eric Balfour,Polly Shannon,Drama,lie with me,Lauren Lee Smith Eric Balfour Polly Shannon Clément Virgo Drama
Enzo Barboni,Terence Hill,Bud Spencer,Laura Gemser,Action Comedy,crime busters,Terence Hill Bud Spencer Laura Gemser Enzo Barboni Action Comedy
Clas Lindberg,Robert Gustafsson,Sif Ruud,Lis Nilheim,Comedy,att stjäla en tjuv,Robert Gustafsson Sif Ruud Lis Nilheim Clas Lindberg Comedy
Peter Dalle,Björn Skifs,Suzanne Reuter,Zara Zetterqvist,Comedy,drömkåken,Björn Skifs Suzanne Reuter Zara Zetterqvist Peter Dalle Comedy
Hella Joof,Mads Mikkelsen,Troels Lyby,Charlotte Munck,Comedy Drama,shake it,Mads Mikkelsen Troels Lyby Charlotte Munck Hella Joof Comedy Drama
Robert Wise,Claire Trevor,Lawrence Tierney,Walter Slezak,Crime Drama Thriller,born to kill,Claire Trevor Lawrence Tierney Walter Slezak Robert Wise Crime Drama Thriller
Laurent Cantet,Charlotte Rampling,Karen Young,Louise Portal,Drama Romance,heading south,Charlotte Rampling Karen Young Louise Portal Laurent Cantet Drama Romance
Budd Boetticher,Randolph Scott,Gail Russell,Lee Marvin,Action Adventure Drama Western,seven men from now,Randolph Scott Gail Russell Lee Marvin Budd Boetticher Action Adventure Drama Western
David Butler,Shirley Temple,Guy Kibbee,Slim Summerville,Comedy Family,captain january,Shirley Temple Guy Kibbee Slim Summerville David Butler Comedy Family
Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Fantasy Drama Thriller Romance,the illusionist,Edward Norton Jessica Biel Paul Giamatti Neil Burger Fantasy Drama Thriller Romance
Vincent Sherman,Errol Flynn,Viveca Lindfors,Robert Douglas,Action Adventure Comedy Romance,adventures of don juan,Errol Flynn Viveca Lindfors Robert Douglas Vincent Sherman Action Adventure Comedy Romance
Frank Capra,Spencer Tracy,Katharine Hepburn,Van Johnson,Comedy Drama Romance,state of the union,Spencer Tracy Katharine Hepburn Van Johnson Frank Capra Comedy Drama Romance
Olivier Marchal,Daniel Auteuil,Gérard Depardieu,André Dussollier,Crime Drama Thriller,36th precinct,Daniel Auteuil Gérard Depardieu André Dussollier Olivier Marchal Crime Drama Thriller
Jay Chandrasekhar,Erik Stolhanske,Jay Chandrasekhar,Steve Lemme,Comedy,beerfest,Erik Stolhanske Jay Chandrasekhar Steve Lemme Jay Chandrasekhar Comedy
Bob Dolman,Luke Benward,Hallie Kate Eisenberg,Adam Hicks,Comedy Drama Family,how to eat fried worms,Luke Benward Hallie Kate Eisenberg Adam Hicks Bob Dolman Comedy Drama Family
Ericson Core,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,Drama,invincible,Mark Wahlberg Greg Kinnear Elizabeth Banks Ericson Core Drama
Bryan Barber,André Benjamin,Paula Patton,Terrence Howard,Crime Drama Music,idlewild,André Benjamin Paula Patton Terrence Howard Bryan Barber Crime Drama Music
Lloyd Bacon,Edward G. Robinson,Jane Bryan,Allen Jenkins,Comedy Crime,a slight case of murder,Edward G. Robinson Jane Bryan Allen Jenkins Lloyd Bacon Comedy Crime
Eran Riklis,Hiam Abbass,Makram Khoury,Clara Khoury,Drama,the syrian bride,Hiam Abbass Makram Khoury Clara Khoury Eran Riklis Drama
Jeff Stanzler,Abdellatif Kechiche,Robin Wright,Remy K. Selma,Drama,"sorry, haters",Abdellatif Kechiche Robin Wright Remy K. Selma Jeff Stanzler Drama
Richard Lester,Jack Weston,Rita Moreno,F. Murray Abraham,Music Comedy,the ritz,Jack Weston Rita Moreno F. Murray Abraham Richard Lester Music Comedy
Jack Cardiff,Shirley MacLaine,Yves Montand,Edward G. Robinson,Comedy Romance,my geisha,Shirley MacLaine Yves Montand Edward G. Robinson Jack Cardiff Comedy Romance
David Lean,Rex Harrison,Constance Cummings,Kay Hammond,Fantasy Drama Comedy Romance,blithe spirit,Rex Harrison Constance Cummings Kay Hammond David Lean Fantasy Drama Comedy Romance
James Parrott,Stan Laurel,Oliver Hardy,Dinah,Action Comedy,the music box,Stan Laurel Oliver Hardy Dinah James Parrott Action Comedy
Albert Lamorisse,Pascal Lamorisse,Georges Sellier,Paul Perey,Fantasy Drama Family,the red balloon,Pascal Lamorisse Georges Sellier Paul Perey Albert Lamorisse Fantasy Drama Family
James W. Horne,Stan Laurel,Oliver Hardy,Sharon Lynn,Comedy Western Music,way out west,Stan Laurel Oliver Hardy Sharon Lynn James W. Horne Comedy Western Music
Luc Besson,Jamel Debbouze,Rie Rasmussen,Gilbert Melki,Romance Comedy Drama Fantasy,angel-a,Jamel Debbouze Rie Rasmussen Gilbert Melki Luc Besson Romance Comedy Drama Fantasy
Sidney Gilliat,Leo Genn,Alastair Sim,Trevor Howard,Drama Mystery Thriller,green for danger,Leo Genn Alastair Sim Trevor Howard Sidney Gilliat Drama Mystery Thriller
Alfred J. Goulding,Stan Laurel,Oliver Hardy,Forrester Harvey,Comedy,a chump at oxford,Stan Laurel Oliver Hardy Forrester Harvey Alfred J. Goulding Comedy
John G. Blystone,Stan Laurel,Oliver Hardy,Patricia Ellis,Comedy War,block-heads,Stan Laurel Oliver Hardy Patricia Ellis John G. Blystone Comedy War
Maurizio Nichetti,Maurizio Nichetti,Caterina Sylos Labini,Federico Rizzo,Comedy,the icicle thief,Maurizio Nichetti Caterina Sylos Labini Federico Rizzo Maurizio Nichetti Comedy
Richard Glatzer Wash Westmoreland,Emily Rios,Jesse Garcia,Chalo González,Drama,quinceañera,Emily Rios Jesse Garcia Chalo González Richard Glatzer Wash Westmoreland Drama
Jay Duplass Mark Duplass,Mark Duplass,Katie Aselton,Rhett Wilkins,Drama Comedy Romance,the puffy chair,Mark Duplass Katie Aselton Rhett Wilkins Jay Duplass Mark Duplass Drama Comedy Romance
Charles Sturridge,Peter O'Toole,Samantha Morton,John Lynch,Adventure Drama Family,lassie,Peter O'Toole Samantha Morton John Lynch Charles Sturridge Adventure Drama Family
Andrew Bujalski,Justin Rice,Rachel Clift,Andrew Bujalski,Drama Comedy,mutual appreciation,Justin Rice Rachel Clift Andrew Bujalski Andrew Bujalski Drama Comedy
Neil LaBute,Nicolas Cage,Ellen Burstyn,Kate Beahan,Mystery Thriller Horror,the wicker man,Nicolas Cage Ellen Burstyn Kate Beahan Neil LaBute Mystery Thriller Horror
Preston A. Whitmore II,Anthony Mackie,Marcello Thedford,Allen Payne,Action Adventure Drama,crossover,Anthony Mackie Marcello Thedford Allen Payne Preston A. Whitmore II Action Adventure Drama
Jamie Babbit,Elisha Cuthbert,Camilla Belle,Edie Falco,Drama Thriller,the quiet,Elisha Cuthbert Camilla Belle Edie Falco Jamie Babbit Drama Thriller
Sydney Pollack,Frank O. Gehry,Sydney Pollack,Philip Johnson,Documentary,sketches of frank gehry,Frank O. Gehry Sydney Pollack Philip Johnson Sydney Pollack Documentary
Douglas Camfield,Anthony Andrews,James Mason,Sam Neill,Drama History Adventure,ivanhoe,Anthony Andrews James Mason Sam Neill Douglas Camfield Drama History Adventure
Tage Danielsson,Hanna Zetterberg,Dan Håfström,Börje Ahlstedt,Adventure Drama Fantasy Family,ronja robbersdaughter,Hanna Zetterberg Dan Håfström Börje Ahlstedt Tage Danielsson Adventure Drama Fantasy Family
Daniel Lind Lagerlöf,Björn Kjellman,Peter Haber,Viveka Seldahl,Comedy Drama,breaking out,Björn Kjellman Peter Haber Viveka Seldahl Daniel Lind Lagerlöf Comedy Drama
Peter Dalle,Suzanne Reuter,Ulla Skoog,Peter Dalle,Comedy,yrrol,Suzanne Reuter Ulla Skoog Peter Dalle Peter Dalle Comedy
Ken Loach,Cillian Murphy,Pádraic Delaney,Liam Cunningham,Drama History War,the wind that shakes the barley,Cillian Murphy Pádraic Delaney Liam Cunningham Ken Loach Drama History War
Robert Wise,Robert Mitchum,Barbara Bel Geddes,Robert Preston,Action Western Drama,blood on the moon,Robert Mitchum Barbara Bel Geddes Robert Preston Robert Wise Action Western Drama
Luchino Visconti,Maria Schell,Marcello Mastroianni,Jean Marais,Drama Romance,le notti bianche,Maria Schell Marcello Mastroianni Jean Marais Luchino Visconti Drama Romance
Lajos Koltai,Marcell Nagy,Béla Dóra,Bálint Péntek,War Drama,fateless,Marcell Nagy Béla Dóra Bálint Péntek Lajos Koltai War Drama
Henry King,Gregory Peck,Joan Collins,Henry Silva,Drama Action Western,the bravados,Gregory Peck Joan Collins Henry Silva Henry King Drama Action Western
Cecil B. DeMille,Fredric March,Elissa Landi,Claudette Colbert,Drama History,the sign of the cross,Fredric March Elissa Landi Claudette Colbert Cecil B. DeMille Drama History
Luis Buñuel,Ernesto Alonso,Miroslava,Rita Macedo,Comedy Crime Drama,the criminal life of archibaldo de la cruz,Ernesto Alonso Miroslava Rita Macedo Luis Buñuel Comedy Crime Drama
Stuart Cooper,Brian Stirner,Davyd Harries,Nicholas Ball,War Drama History,overlord,Brian Stirner Davyd Harries Nicholas Ball Stuart Cooper War Drama History
Christopher Smith,Danny Dyer,Laura Harris,Toby Stephens,Horror Comedy Thriller,severance,Danny Dyer Laura Harris Toby Stephens Christopher Smith Horror Comedy Thriller
François Ozon,Melvil Poupaud,Jeanne Moreau,Valeria Bruni Tedeschi,Drama,time to leave,Melvil Poupaud Jeanne Moreau Valeria Bruni Tedeschi François Ozon Drama
Allen Coulter,Adrien Brody,Diane Lane,Ben Affleck,Drama Thriller Crime,hollywoodland,Adrien Brody Diane Lane Ben Affleck Allen Coulter Drama Thriller Crime
Henry King,Tyrone Power,Henry Fonda,Nancy Kelly,Western Crime Drama History,jesse james,Tyrone Power Henry Fonda Nancy Kelly Henry King Western Crime Drama History
Jimmy Larouche,Marc Béland,Patrick Goyette,Sébastien Leblanc,Drama,the scar,Marc Béland Patrick Goyette Sébastien Leblanc Jimmy Larouche Drama
Tony Goldwyn,Zach Braff,Jacinda Barrett,Casey Affleck,Comedy Drama Romance,the last kiss,Zach Braff Jacinda Barrett Casey Affleck Tony Goldwyn Comedy Drama Romance
Bart Freundlich,David Duchovny,Julianne Moore,Billy Crudup,Comedy Drama Romance,trust the man,David Duchovny Julianne Moore Billy Crudup Bart Freundlich Comedy Drama Romance
Laurie Collyer,Maggie Gyllenhaal,Michelle Hurst,Sandra Rodríguez,Drama,sherrybaby,Maggie Gyllenhaal Michelle Hurst Sandra Rodríguez Laurie Collyer Drama
Wilson Yip,Jordan Chan,Emotion Cheung,Sam Lee,Horror Comedy Foreign,bio zombie,Jordan Chan Emotion Cheung Sam Lee Wilson Yip Horror Comedy Foreign
Mike Judge,Luke Wilson,Maya Rudolph,Dax Shepard,Adventure Comedy Sci-Fi,idiocracy,Luke Wilson Maya Rudolph Dax Shepard Mike Judge Adventure Comedy Sci-Fi
Heidi Ewing Rachel Grady,Becky Fischer,Mike Papantonio,Ted Haggard,Documentary,jesus camp,Becky Fischer Mike Papantonio Ted Haggard Heidi Ewing Rachel Grady Documentary
Kim Ki-duk,Seo Ji-Seok,Jeon Kuk-hwan,Seong-hwang Jeon,Drama Romance,the bow,Seo Ji-Seok Jeon Kuk-hwan Seong-hwang Jeon Kim Ki-duk Drama Romance
Cecil B. DeMille,Loretta Young,Henry Wilcoxon,Ian Keith,Adventure Drama History,the crusades,Loretta Young Henry Wilcoxon Ian Keith Cecil B. DeMille Adventure Drama History
Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Tom Waits,Comedy Drama Romance,the tiger and the snow,Roberto Benigni Nicoletta Braschi Tom Waits Roberto Benigni Comedy Drama Romance
Noel Black,Anthony Perkins,Tuesday Weld,Beverly Garland,Crime Drama Romance Thriller,pretty poison,Anthony Perkins Tuesday Weld Beverly Garland Noel Black Crime Drama Romance Thriller
Alain Berbérian,Chantal Lauby,Alain Chabat,Dominique Farrugia,Comedy,fear city: a family-style comedy,Chantal Lauby Alain Chabat Dominique Farrugia Alain Berbérian Comedy
Mathieu Kassovitz,Michel Serrault,Mathieu Kassovitz,Mehdi Benoufa,Drama Crime,assassin(s),Michel Serrault Mathieu Kassovitz Mehdi Benoufa Mathieu Kassovitz Drama Crime
Cecil B. DeMille,Barbara Stanwyck,Joel McCrea,Akim Tamiroff,Drama Western,union pacific,Barbara Stanwyck Joel McCrea Akim Tamiroff Cecil B. DeMille Drama Western
Bill Melendez,Peter Robbins,Pamelyn Ferdin,Glenn Gilger,Animation Comedy Family,a boy named charlie brown,Peter Robbins Pamelyn Ferdin Glenn Gilger Bill Melendez Animation Comedy Family
Bill Melendez,Chad Webber,Robin Kohn,Stephen Shea,Family,"snoopy, come home",Chad Webber Robin Kohn Stephen Shea Bill Melendez Family
Thomas Michael Donnelly,Kiefer Sutherland,Skeet Ulrich,Georgina Cates,TV Movie War Drama,a soldier's sweetheart,Kiefer Sutherland Skeet Ulrich Georgina Cates Thomas Michael Donnelly TV Movie War Drama
Michel Gondry,Gael García Bernal,Charlotte Gainsbourg,Miou-Miou,Comedy Drama Fantasy,the science of sleep,Gael García Bernal Charlotte Gainsbourg Miou-Miou Michel Gondry Comedy Drama Fantasy
Jean Negulesco Anatole Litvak,James Cagney,Ann Sheridan,Frank Craven,Music Drama Crime,city for conquest,James Cagney Ann Sheridan Frank Craven Jean Negulesco Anatole Litvak Music Drama Crime
Andrew Lau Alan Mak,Jay Chou,Jordan Chan,Shawn Yue,Action Crime Thriller Drama,initial d,Jay Chou Jordan Chan Shawn Yue Andrew Lau Alan Mak Action Crime Thriller Drama
Michael Steinberg,Julia Stiles,William R. Moses,Patrick Muldoon,Thriller,wicked,Julia Stiles William R. Moses Patrick Muldoon Michael Steinberg Thriller
John Ford,John Wayne,Thomas Mitchell,Ian Hunter,Action Drama War,the long voyage home,John Wayne Thomas Mitchell Ian Hunter John Ford Action Drama War
Stanley Kramer,Olivia de Havilland,Robert Mitchum,Frank Sinatra,Drama Romance,not as a stranger,Olivia de Havilland Robert Mitchum Frank Sinatra Stanley Kramer Drama Romance
Brian De Palma,Josh Hartnett,Scarlett Johansson,Aaron Eckhart,Drama,the black dahlia,Josh Hartnett Scarlett Johansson Aaron Eckhart Brian De Palma Drama
Lucky McKee,Agnes Bruckner,Patricia Clarkson,Rachel Nichols,Mystery Horror Thriller,the woods,Agnes Bruckner Patricia Clarkson Rachel Nichols Lucky McKee Mystery Horror Thriller
Christopher Reeve Colin Brady Dan St. Pierre,William H. Macy,Rob Reiner,Brian Dennehy,Action Adventure Animation Comedy Drama Family,everyone's hero,William H. Macy Rob Reiner Brian Dennehy Christopher Reeve Colin Brady Dan St. Pierre Action Adventure Animation Comedy Drama Family
Phil Joanou,Dwayne Johnson,Xzibit,L. Scott Caldwell,Action Adventure Crime Drama,gridiron gang,Dwayne Johnson Xzibit L. Scott Caldwell Phil Joanou Action Adventure Crime Drama
Michael Haneke,Birgit Doll,Dieter Berner,Leni Tanzer,Drama,the seventh continent,Birgit Doll Dieter Berner Leni Tanzer Michael Haneke Drama
Benoît Delépine Gustave de Kervern,Benoît Delépine,Gustave de Kervern,Michel de Gavre,Comedy Foreign Drama,aaltra,Benoît Delépine Gustave de Kervern Michel de Gavre Benoît Delépine Gustave de Kervern Comedy Foreign Drama
H. Bruce Humberstone,Danny Kaye,Virginia Mayo,Vera-Ellen,Music Comedy Fantasy,wonder man,Danny Kaye Virginia Mayo Vera-Ellen H. Bruce Humberstone Music Comedy Fantasy
Wim Wenders,Rüdiger Vogler,Patrick Bauchau,Vasco Sequeira,Drama Foreign Thriller,lisbon story,Rüdiger Vogler Patrick Bauchau Vasco Sequeira Wim Wenders Drama Foreign Thriller
Robert Altman,Matthew Modine,Michael Wright,Mitchell Lichtenstein,Drama,streamers,Matthew Modine Michael Wright Mitchell Lichtenstein Robert Altman Drama
Wim Wenders,Michelle Williams,John Diehl,Shaun Toub,Drama History War,land of plenty,Michelle Williams John Diehl Shaun Toub Wim Wenders Drama History War
Dominik Moll,Charlotte Gainsbourg,Charlotte Rampling,André Dussollier,Drama Thriller Mystery,lemming,Charlotte Gainsbourg Charlotte Rampling André Dussollier Dominik Moll Drama Thriller Mystery
György Pálfi,Molnár Piroska,Mária Bodor,Albert Oláh,Drama Horror Comedy,taxidermia,Molnár Piroska Mária Bodor Albert Oláh György Pálfi Drama Horror Comedy
Mani Ratnam,Abhishek Bachchan,Ajay Devgn,Rani Mukerji,Adventure Action Drama Crime,yuva,Abhishek Bachchan Ajay Devgn Rani Mukerji Mani Ratnam Adventure Action Drama Crime
Russ Meyer,Babette Bardot,Pat Barrington,Sin Lenee,Documentary,mondo topless,Babette Bardot Pat Barrington Sin Lenee Russ Meyer Documentary
Russ Meyer,Erica Gavin,Garth Pillsbury,Harrison Page,Comedy Drama Romance,vixen!,Erica Gavin Garth Pillsbury Harrison Page Russ Meyer Comedy Drama Romance
Fred Schepisi,Ed Harris,Philip Seymour Hoffman,Helen Hunt,Drama Romance,empire falls,Ed Harris Philip Seymour Hoffman Helen Hunt Fred Schepisi Drama Romance
E.A. Dupont,Anna May Wong,Gilda Gray,Jameson Thomas,Drama,piccadilly,Anna May Wong Gilda Gray Jameson Thomas E.A. Dupont Drama
Alexander Korda,Charles Laughton,Robert Donat,Franklin Dyall,Comedy Drama Romance History,the private life of henry viii,Charles Laughton Robert Donat Franklin Dyall Alexander Korda Comedy Drama Romance History
Mel Gibson,Rudy Youngblood,Raoul Max Trujillo,Gerardo Taracena,Action Adventure Drama Thriller,apocalypto,Rudy Youngblood Raoul Max Trujillo Gerardo Taracena Mel Gibson Action Adventure Drama Thriller
Edward Dmytryk,Elizabeth Taylor,Montgomery Clift,Eva Marie Saint,Drama Romance,raintree county,Elizabeth Taylor Montgomery Clift Eva Marie Saint Edward Dmytryk Drama Romance
Tony Bill,James Franco,David Ellison,Jean Reno,Action Adventure Drama History Romance War,flyboys,James Franco David Ellison Jean Reno Tony Bill Action Adventure Drama History Romance War
Jeff Tremaine,Johnny Knoxville,Bam Margera,Steve-O,Action Comedy Documentary,jackass number two,Johnny Knoxville Bam Margera Steve-O Jeff Tremaine Action Comedy Documentary
Steven Zaillian,Sean Penn,Jude Law,Kate Winslet,Drama Thriller,all the king's men,Sean Penn Jude Law Kate Winslet Steven Zaillian Drama Thriller
Hans Canosa,Helena Bonham Carter,Aaron Eckhart,Yury Tsykun,Drama Romance,conversations with other women,Helena Bonham Carter Aaron Eckhart Yury Tsykun Hans Canosa Drama Romance
Roy Allen Smith,Scott McAfee,Candace Hutson,Heather Hogan,Animation Family Adventure,the land before time ii: the great valley adventure,Scott McAfee Candace Hutson Heather Hogan Roy Allen Smith Animation Family Adventure
Alexandre Volkoff Yakov Protazanov,Iwan Mosschuchin,Olga Kondorova,V. Dzheneyeva,History Drama,father sergius,Iwan Mosschuchin Olga Kondorova V. Dzheneyeva Alexandre Volkoff Yakov Protazanov History Drama
Larry Charles,Sacha Baron Cohen,Ken Davitian,Luenell,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Sacha Baron Cohen Ken Davitian Luenell Larry Charles Comedy
Guillermo del Toro,Ivana Baquero,Maribel Verdú,Sergi López,Fantasy Drama War,pan's labyrinth,Ivana Baquero Maribel Verdú Sergi López Guillermo del Toro Fantasy Drama War
Dick Powell,John Wayne,Susan Hayward,Pedro Armendáriz,Action Adventure,the conqueror,John Wayne Susan Hayward Pedro Armendáriz Dick Powell Action Adventure
Andrew Davis,Kevin Costner,Ashton Kutcher,Sela Ward,Action Adventure Drama,the guardian,Kevin Costner Ashton Kutcher Sela Ward Andrew Davis Action Adventure Drama
Jill Culton Roger Allers Anthony Stacchi,Martin Lawrence,Ashton Kutcher,Gary Sinise,Adventure Animation Family,open season,Martin Lawrence Ashton Kutcher Gary Sinise Jill Culton Roger Allers Anthony Stacchi Adventure Animation Family
Todd Phillips,Billy Bob Thornton,Jon Heder,Jacinda Barrett,Comedy Drama Romance,school for scoundrels,Billy Bob Thornton Jon Heder Jacinda Barrett Todd Phillips Comedy Drama Romance
Robin Schiff,Katherine Heigl,Alexandra Breckenridge,Kelly Brook,Comedy,romy and michele: in the beginning,Katherine Heigl Alexandra Breckenridge Kelly Brook Robin Schiff Comedy
Tim Whelan,Charles Laughton,Vivien Leigh,Rex Harrison,Comedy Drama,st. martin's lane,Charles Laughton Vivien Leigh Rex Harrison Tim Whelan Comedy Drama
Ömer Faruk Sorak,Cem Yılmaz,Rasim Öztekin,Özkan Uğur,Adventure Comedy Sci-Fi,g.o.r.a.,Cem Yılmaz Rasim Öztekin Özkan Uğur Ömer Faruk Sorak Adventure Comedy Sci-Fi
Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Drama Thriller Crime,the departed,Leonardo DiCaprio Matt Damon Jack Nicholson Martin Scorsese Drama Thriller Crime
Jonathan Liebesman,Jordana Brewster,Taylor Handley,Diora Baird,Horror,the texas chainsaw massacre: the beginning,Jordana Brewster Taylor Handley Diora Baird Jonathan Liebesman Horror
Greg Coolidge,Dane Cook,Jessica Simpson,Dax Shepard,Comedy Romance,employee of the month,Dane Cook Jessica Simpson Dax Shepard Greg Coolidge Comedy Romance
Geoffrey Sax,Alex Pettyfer,Sarah Bolger,Ewan McGregor,Adventure Action Family,stormbreaker,Alex Pettyfer Sarah Bolger Ewan McGregor Geoffrey Sax Adventure Action Family
Curtis Bernhardt,Humphrey Bogart,Märta Torén,Lee J. Cobb,Action Adventure Drama,sirocco,Humphrey Bogart Märta Torén Lee J. Cobb Curtis Bernhardt Action Adventure Drama
Erik Poppe,Trond Espen Seim,Jan Gunnar Røise,Evy Kasseth Røsten,Drama Foreign,"hawaii, oslo",Trond Espen Seim Jan Gunnar Røise Evy Kasseth Røsten Erik Poppe Drama Foreign
Christian Alvart,Wotan Wilke Möhring,André Hennicke,Heinz Hoenig,Thriller Crime Drama,antibodies,Wotan Wilke Möhring André Hennicke Heinz Hoenig Christian Alvart Thriller Crime Drama
Ernest B. Schoedsack,Albert Dekker,Thomas Coley,Janice Logan,Adventure Horror Sci-Fi,dr. cyclops,Albert Dekker Thomas Coley Janice Logan Ernest B. Schoedsack Adventure Horror Sci-Fi
Ryan Murphy,Annette Bening,Brian Cox,Joseph Cross,Drama Comedy,running with scissors,Annette Bening Brian Cox Joseph Cross Ryan Murphy Drama Comedy
Jules Dassin,Burt Lancaster,Hume Cronyn,Charles Bickford,Crime Drama,brute force,Burt Lancaster Hume Cronyn Charles Bickford Jules Dassin Crime Drama
Scott Coffey,Naomi Watts,Scott Coffey,Jennifer Syme,Comedy Drama,ellie parker,Naomi Watts Scott Coffey Jennifer Syme Scott Coffey Comedy Drama
Takashi Shimizu,Sarah Michelle Gellar,Amber Tamblyn,Edison Chen,Horror Thriller,the grudge 2,Sarah Michelle Gellar Amber Tamblyn Edison Chen Takashi Shimizu Horror Thriller
Barry Levinson,Robin Williams,Christopher Walken,Laura Linney,Comedy Drama Romance Thriller,man of the year,Robin Williams Christopher Walken Laura Linney Barry Levinson Comedy Drama Romance Thriller
John Bonito,John Cena,Kelly Carlson,Robert Patrick,Action Adventure Drama Thriller,the marine,John Cena Kelly Carlson Robert Patrick John Bonito Action Adventure Drama Thriller
Douglas McGrath,Sigourney Weaver,Toby Jones,Gwyneth Paltrow,Drama,infamous,Sigourney Weaver Toby Jones Gwyneth Paltrow Douglas McGrath Drama
Michael O. Sajbel,Tiffany Dupont,Peter O'Toole,Luke Goss,Drama,one night with the king,Tiffany Dupont Peter O'Toole Luke Goss Michael O. Sajbel Drama
Paul Crowder John Dower,Pelé,Franz Beckenbauer,Carlos Alberto,Documentary,once in a lifetime: the extraordinary story of the new york cosmos,Pelé Franz Beckenbauer Carlos Alberto Paul Crowder John Dower Documentary
Federico Fellini,Donald Sutherland,Tina Aumont,Cicely Browne,Drama History Romance,fellini's casanova,Donald Sutherland Tina Aumont Cicely Browne Federico Fellini Drama History Romance
Frank Lloyd,Cary Grant,Martha Scott,Cedric Hardwicke,Drama History War,the howards of virginia,Cary Grant Martha Scott Cedric Hardwicke Frank Lloyd Drama History War
Sergei Vasilyev,Boris Babochkin,Leonid Kmit,Varvara Myasnikova,Comedy Drama History War,chapayev,Boris Babochkin Leonid Kmit Varvara Myasnikova Sergei Vasilyev Comedy Drama History War
Oskar Roehler,Christian Ulmen,Moritz Bleibtreu,Martina Gedeck,Drama Romance,the elementary particles,Christian Ulmen Moritz Bleibtreu Martina Gedeck Oskar Roehler Drama Romance
Jafar Panahi,Sima Mobarak-Shahi,Shayesteh Irani,Ayda Sadeqi,Drama Comedy Foreign,offside,Sima Mobarak-Shahi Shayesteh Irani Ayda Sadeqi Jafar Panahi Drama Comedy Foreign
Todd Field,Kate Winslet,Patrick Wilson,Jennifer Connelly,Romance Drama,little children,Kate Winslet Patrick Wilson Jennifer Connelly Todd Field Romance Drama
W.S. Van Dyke,Norma Shearer,Tyrone Power,John Barrymore,Drama Romance,marie antoinette,Norma Shearer Tyrone Power John Barrymore W.S. Van Dyke Drama Romance
Norman Jewison,Sylvester Stallone,Rod Steiger,Peter Boyle,Drama Action,f.i.s.t.,Sylvester Stallone Rod Steiger Peter Boyle Norman Jewison Drama Action
Alex Kendrick,James Blackwell,Alex Kendrick,Shannen Fields,Drama,facing the giants,James Blackwell Alex Kendrick Shannen Fields Alex Kendrick Drama
Frank Capra,Warner Baxter,Myrna Loy,Walter Connolly,Comedy Drama,broadway bill,Warner Baxter Myrna Loy Walter Connolly Frank Capra Comedy Drama
Kevin Macdonald,Forest Whitaker,James McAvoy,Simon McBurney,Drama,the last king of scotland,Forest Whitaker James McAvoy Simon McBurney Kevin Macdonald Drama
David Leaf John Scheinfeld,Stew Albert,Tariq Ali,Carl Bernstein,Documentary,the u.s. vs. john lennon,Stew Albert Tariq Ali Carl Bernstein David Leaf John Scheinfeld Documentary
John Cameron Mitchell,Sook-Yin Lee,Paul Dawson,PJ DeBoy,Romance Drama Comedy,shortbus,Sook-Yin Lee Paul Dawson PJ DeBoy John Cameron Mitchell Romance Drama Comedy
Mathias Ledoux,Edward Furlong,Emilia Fox,Elsa Zylberstein,Crime Foreign Thriller,3 blind mice,Edward Furlong Emilia Fox Elsa Zylberstein Mathias Ledoux Crime Foreign Thriller
Alfonso Cuarón,Clive Owen,Michael Caine,Julianne Moore,Drama Action Thriller Sci-Fi,children of men,Clive Owen Michael Caine Julianne Moore Alfonso Cuarón Drama Action Thriller Sci-Fi
